function_id,raw_name,canonical_name,address,category,status,batch,target_address,target_slot,collapsed_raw_target,source_line_start,source_line_end,source_byte_start,source_byte_end,payload_byte_start,payload_byte_end,output_file,output_payload_offset,raw_signature
function_00068,FUN_7100014710,unidentified_function_7100014710,7100014710,internal,recovered_body,0,,,,4796055,4796142,161683911,161687670,161683905,161687670,src/functions/internal/batch_00/7100000000/1981_functions.inc,310760,undefined8 FUN_7100014710(long param_1)
function_00069,FUN_7100014980,unidentified_function_7100014980,7100014980,internal,recovered_body,0,,,,4796146,4796191,161687676,161688864,161687670,161688864,src/functions/internal/batch_00/7100000000/1981_functions.inc,314525,"undefined8 FUN_7100014980(uint param_1,char *param_2,short *param_3,uint param_4)"
function_00070,FUN_7100014a90,unidentified_function_7100014a90,7100014a90,internal,recovered_body,0,,,,4796195,4796601,161688870,161701317,161688864,161701317,src/functions/internal/batch_00/7100000000/1981_functions.inc,315719,"ushort FUN_7100014a90(uint param_1,uint param_2,char *param_3,char *param_4,long param_5,int param_6 )"
function_00071,FUN_71000154b0,unidentified_function_71000154b0,71000154b0,internal,recovered_body,0,,,,4796605,4796625,161701323,161701867,161701317,161701867,src/functions/internal/batch_00/7100000000/1981_functions.inc,328172,undefined * FUN_71000154b0(undefined8 param_1)
function_00072,FUN_7100015570,unidentified_function_7100015570,7100015570,internal,recovered_body,0,,,,4796629,4796636,161701873,161702085,161701867,161702085,src/functions/internal/batch_00/7100000000/1981_functions.inc,328722,"ushort FUN_7100015570(uint param_1,uint param_2,undefined8 param_3,long param_4,int param_5)"
function_00073,FUN_71000155a0,unidentified_function_71000155a0,71000155a0,internal,recovered_body,0,,,,4796640,4796647,161702091,161702238,161702085,161702238,src/functions/internal/batch_00/7100000000/1981_functions.inc,328940,void FUN_71000155a0(char param_1)
function_00074,ret_71000155C0,return_stub_71000155c0,71000155c0,return_stubs,recovered_body,0,,,,4796651,4796655,161702244,161702290,161702238,161702290,src/functions/return_stubs/batch_00/7100000000/1982_functions.inc,0,void ret_71000155C0(void)
function_00075,FUN_71000155d0,unidentified_function_71000155d0,71000155d0,internal,recovered_body,0,,,,4796659,4796700,161702296,161703903,161702290,161703903,src/functions/internal/batch_00/7100000000/1983_functions.inc,0,"undefined8 FUN_71000155d0(long param_1,long param_2,undefined4 param_3,int param_4,undefined4 param_5, undefined4 param_6,uint param_7)"
function_00076,FUN_7100015710,unidentified_function_7100015710,7100015710,internal,recovered_body,0,,,,4796704,4796871,161703909,161707657,161703903,161707657,src/functions/internal/batch_00/7100000000/1983_functions.inc,1613,"undefined4 FUN_7100015710(undefined4 param_1,undefined8 param_2,auto_FUN_7100015710_param_3 *param_3, int param_4)"
function_00077,ret_7100015960,return_stub_7100015960,7100015960,return_stubs,recovered_body,0,,,,4796875,4796879,161707663,161707709,161707657,161707709,src/functions/return_stubs/batch_00/7100000000/1984_functions.inc,0,void ret_7100015960(void)
function_00078,ret_7100015970,return_stub_7100015970,7100015970,return_stubs,recovered_body,0,,,,4796883,4796887,161707715,161707761,161707709,161707761,src/functions/return_stubs/batch_00/7100000000/1984_functions.inc,52,void ret_7100015970(void)
function_00079,ret_7100015980,return_stub_7100015980,7100015980,return_stubs,recovered_body,0,,,,4796891,4796895,161707767,161707813,161707761,161707813,src/functions/return_stubs/batch_00/7100000000/1984_functions.inc,104,void ret_7100015980(void)
